iter	RMSE
0	14.92861972
1	14.54128531
2	14.15545027
3	13.78014402
4	13.41824479
5	13.11194176
6	12.8073773
7	12.51346672
8	12.23338487
9	11.93926776
10	11.67578964
11	11.4083236
12	11.14428108
13	10.88660278
14	10.66510252
15	10.4350855
16	10.22646895
17	9.999891469
18	9.822428029
19	9.628187399
20	9.44319102
21	9.290530201
22	9.161955395
23	9.001442025
24	8.839447944
25	8.676297258
26	8.530607969
27	8.391562705
28	8.24971963
29	8.120699761
30	8.009102209
31	7.887321541
32	7.784916272
33	7.672840337
34	7.576776121
35	7.488844436
36	7.395617115
37	7.310084662
38	7.222081072
39	7.147890004
40	7.070031653
41	6.999486199
42	6.939316671
43	6.870529494
44	6.802771314
45	6.737370008
46	6.675479228
47	6.614074328
48	6.560972468
49	6.508938869
50	6.457687302
51	6.407483059
52	6.363275388
53	6.323725306
54	6.274731016
55	6.229013006
56	6.18641065
57	6.141387828
58	6.106658185
59	6.074293424
60	6.038389553
61	6.005536634
62	5.973980821
63	5.946940796
64	5.91502164
65	5.888223925
66	5.852872642
67	5.831014355
68	5.806470642
69	5.781843273
70	5.760003838
71	5.740561616
72	5.721585067
73	5.701329404
74	5.681347172
75	5.658993121
76	5.642079458
77	5.626325734
78	5.615413805
79	5.596931316
80	5.582115886
81	5.563384489
82	5.548505878
83	5.531821512
84	5.521099825
85	5.505319828
86	5.494361701
87	5.478639888
88	5.465277449
89	5.453511104
90	5.440968902
91	5.43103482
92	5.415183949
93	5.40306902
94	5.393110629
95	5.380360412
96	5.369299782
97	5.358350293
98	5.348795064
99	5.338203649
100	5.330510184
101	5.32146037
102	5.314133739
103	5.306582093
104	5.299287869
105	5.29114033
106	5.280168186
107	5.273651528
108	5.262242311
109	5.256285874
110	5.24729235
111	5.239550243
112	5.234327865
113	5.228665297
114	5.223258614
115	5.213793083
116	5.207270396
117	5.202862
118	5.197069656
119	5.190927185
120	5.180262893
121	5.173011546
122	5.167239741
123	5.160174599
124	5.155057392
125	5.144765627
126	5.139674522
127	5.135897993
128	5.128203906
129	5.121100606
130	5.114395667
131	5.106670859
132	5.099677878
133	5.093704139
134	5.08900306
135	5.084730836
136	5.078571829
137	5.074192858
138	5.069416189
139	5.06529996
140	5.05936353
141	5.052135181
142	5.048985947
143	5.04081979
144	5.03619951
145	5.031369453
146	5.025354171
147	5.021502357
148	5.017625003
149	5.011561165
150	5.006890587
151	5.002231491
152	4.995247497
153	4.990986617
154	4.98699386
155	4.978862632
156	4.97576978
157	4.968070126
158	4.961930772
159	4.952450849
160	4.948212875
161	4.944221455
162	4.937205815
163	4.931122461
164	4.927633014
165	4.92454043
166	4.922496944
167	4.917950922
168	4.913504401
169	4.910703948
170	4.905102937
171	4.900937121
172	4.89541198
173	4.88668293
174	4.884887667
175	4.882073602
176	4.876395851
177	4.872312369
178	4.867719513
179	4.862644539
180	4.857014026
181	4.850621198
182	4.843153521
183	4.83985437
184	4.833268916
185	4.828919395
186	4.826480651
187	4.822681813
188	4.817563308
189	4.813479656
190	4.808842568
191	4.804808095
192	4.797592459
193	4.7954214
194	4.790497211
195	4.782995385
196	4.779891669
197	4.773728904
198	4.769179003
199	4.765484574
200	4.759895754
201	4.755598964
202	4.751875462
203	4.745561481
204	4.742330107
205	4.736513751
206	4.733620605
207	4.730819663
208	4.727288538
209	4.725624778
210	4.720664467
211	4.71654835
212	4.71506548
213	4.710614176
214	4.708388797
215	4.704394004
216	4.699846964
217	4.696640862
218	4.694063335
219	4.69160318
220	4.688093194
221	4.682203228
222	4.679665819
223	4.674065112
224	4.670346615
225	4.668603851
226	4.661511202
227	4.658563517
228	4.654756024
229	4.651132721
230	4.648350329
231	4.645372544
232	4.642603749
233	4.638536242
234	4.634595854
235	4.629772407
236	4.626972484
237	4.625329156
238	4.62073116
239	4.617668083
240	4.614853765
241	4.607862301
242	4.601741311
243	4.597301784
244	4.592870741
245	4.58711329
246	4.58550391
247	4.582263887
248	4.579329296
249	4.572935818
250	4.568708267
251	4.565925077
252	4.564154753
253	4.559662562
254	4.556330805
255	4.550252993
256	4.546572129
257	4.544581523
258	4.538613986
259	4.534570551
260	4.529873061
261	4.525697178
262	4.519763229
263	4.517075704
264	4.512347029
265	4.507031165
266	4.505124379
267	4.500040632
268	4.497876967
269	4.494859627
270	4.490796102
271	4.486126355
272	4.483410838
273	4.480614371
274	4.478768636
275	4.474095175
276	4.471566685
277	4.467387683
278	4.463896637
279	4.460262261
280	4.453137769
281	4.448276025
282	4.442734124
283	4.440752463
284	4.438935131
285	4.433564999
286	4.428049408
287	4.42172913
288	4.420035838
289	4.417359969
290	4.415942748
291	4.413145077
292	4.408178174
293	4.405930749
294	4.403392528
295	4.397495125
296	4.392916454
297	4.387457675
298	4.385568585
299	4.381910057
300	4.379476727
301	4.376632508
302	4.373305094
303	4.367790455
304	4.36570359
305	4.364364856
306	4.361006111
307	4.356490268
308	4.355384178
309	4.350221522
310	4.349339763
311	4.344498339
312	4.341968291
313	4.340379734
314	4.337755656
315	4.333267575
316	4.331010439
317	4.327281061
318	4.322084101
319	4.318863551
320	4.317353382
321	4.314344098
322	4.312998837
323	4.312379479
324	4.305622902
325	4.303645328
326	4.301023826
327	4.295979079
328	4.29105009
329	4.289778475
330	4.284184371
331	4.282736892
332	4.280644525
333	4.278387951
334	4.272902711
335	4.271620853
336	4.26841465
337	4.263235639
338	4.258197129
339	4.254978121
340	4.252418637
341	4.250908833
342	4.250198747
343	4.245120673
344	4.242580259
345	4.23693766
346	4.232585906
347	4.22853976
348	4.226918726
349	4.225035352
350	4.221009987
351	4.215237377
352	4.214686936
353	4.208769088
354	4.205136001
355	4.201283111
356	4.197531789
357	4.194589299
358	4.193102133
359	4.189632196
360	4.185036744
361	4.18336661
362	4.182126957
363	4.178632946
364	4.176511673
365	4.173096044
366	4.169765164
367	4.165276505
368	4.164487551
369	4.161201483
370	4.157428572
371	4.156427947
372	4.15295176
373	4.148809478
374	4.143954875
375	4.142536612
376	4.138483153
377	4.135027273
378	4.134223135
379	4.132508909
380	4.130707924
381	4.126117269
382	4.121273989
383	4.117607267
384	4.114331865
385	4.109868611
386	4.107947282
387	4.103479771
388	4.102950722
389	4.099556306
390	4.096919189
391	4.093998397
392	4.093364723
393	4.089226805
394	4.086389714
395	4.085520304
396	4.081506124
397	4.078756148
