iter	Passed	Remaining
0	175	175739
1	179	89642
2	183	60868
3	186	46429
4	189	37787
5	191	31794
6	194	27624
7	197	24486
8	199	22017
9	202	20022
10	204	18376
11	206	16991
12	208	15829
13	210	14812
14	212	13927
15	213	13152
16	215	12450
17	216	11830
18	218	11270
19	219	10768
20	221	10312
21	222	9898
22	224	9526
23	225	9181
24	227	8863
25	228	8568
26	230	8294
27	231	8044
28	233	7809
29	234	7594
30	236	7389
31	237	7197
32	239	7017
33	240	6839
34	241	6670
35	243	6510
36	244	6360
37	245	6216
38	246	6080
39	247	5951
40	249	5829
41	250	5710
42	251	5599
43	252	5492
44	253	5389
45	255	5291
46	256	5198
47	257	5106
48	258	5019
49	259	4937
50	261	4857
51	262	4781
52	263	4707
53	264	4635
54	265	4565
55	266	4498
56	268	4434
57	269	4373
58	270	4312
59	271	4254
60	272	4198
61	273	4144
62	275	4091
63	276	4044
64	277	3995
65	279	3948
66	280	3901
67	281	3855
68	282	3811
69	283	3768
70	284	3726
71	285	3685
72	287	3646
73	288	3608
74	289	3572
75	290	3536
76	292	3500
77	293	3464
78	294	3430
79	295	3396
80	296	3363
81	297	3332
82	299	3303
83	300	3273
84	301	3241
85	302	3212
86	303	3184
87	304	3156
88	305	3129
89	307	3105
90	308	3081
91	309	3056
92	310	3033
93	312	3009
94	313	2986
95	314	2964
96	316	2943
97	317	2920
98	318	2900
99	319	2879
100	321	2858
101	322	2838
102	323	2817
103	324	2799
104	326	2781
105	327	2761
106	328	2742
107	329	2723
108	330	2705
109	332	2687
110	333	2669
111	334	2651
112	335	2632
113	336	2615
114	337	2597
115	338	2581
116	339	2565
117	341	2549
118	342	2533
119	343	2517
120	344	2501
121	345	2486
122	346	2470
123	347	2455
124	348	2440
125	349	2426
126	351	2414
127	352	2403
128	354	2392
129	355	2379
130	356	2365
131	357	2352
132	358	2339
133	359	2326
134	361	2313
135	362	2301
136	363	2288
137	364	2276
138	365	2264
139	366	2252
140	367	2240
141	369	2229
142	370	2218
143	371	2207
144	372	2196
145	373	2185
146	374	2174
147	375	2164
148	377	2153
149	378	2143
150	379	2132
151	380	2122
152	381	2112
153	382	2103
154	384	2093
155	385	2083
156	386	2073
157	387	2064
158	388	2054
159	389	2045
160	390	2035
161	391	2026
162	392	2017
163	393	2008
164	395	1999
165	396	1990
166	397	1981
167	398	1972
168	399	1964
169	400	1955
170	401	1947
171	402	1939
172	403	1931
173	405	1923
174	406	1915
175	407	1907
176	408	1899
177	409	1891
178	410	1883
179	411	1875
180	412	1868
181	414	1861
182	415	1853
183	416	1846
184	417	1839
185	418	1831
186	419	1824
187	420	1817
188	421	1810
189	423	1803
190	424	1798
191	425	1791
192	426	1784
193	427	1777
194	429	1771
195	430	1764
196	431	1758
197	432	1751
198	433	1745
199	434	1738
200	435	1732
201	436	1726
202	437	1719
203	439	1713
204	440	1707
205	441	1700
206	442	1694
207	443	1688
208	444	1683
209	445	1677
210	446	1671
211	448	1665
212	449	1659
213	450	1653
214	451	1647
215	452	1642
216	453	1636
217	454	1631
218	455	1625
219	456	1620
220	458	1614
221	459	1609
222	460	1604
223	461	1598
224	462	1593
225	463	1588
226	464	1582
227	465	1577
228	467	1572
229	468	1567
230	469	1562
231	470	1557
232	471	1552
233	472	1547
234	473	1542
235	475	1538
236	476	1534
237	477	1529
238	478	1524
239	480	1520
240	481	1515
241	482	1510
242	483	1506
243	484	1501
244	485	1497
245	486	1492
246	488	1487
247	489	1483
248	490	1478
249	491	1474
250	492	1469
251	493	1465
252	494	1460
253	495	1456
254	496	1451
255	497	1447
256	499	1443
257	500	1439
258	501	1434
259	502	1430
260	503	1426
261	504	1422
262	506	1418
263	507	1414
264	508	1410
265	509	1406
266	510	1402
267	511	1398
268	512	1393
269	514	1389
270	515	1385
271	516	1381
272	517	1377
273	518	1373
274	519	1369
275	520	1365
276	521	1361
277	523	1358
278	524	1354
279	525	1350
280	526	1346
281	527	1343
282	528	1339
283	529	1335
284	530	1331
285	531	1328
286	533	1324
287	534	1320
288	535	1317
289	536	1313
290	537	1310
291	538	1306
292	539	1302
293	541	1299
294	542	1295
295	543	1292
296	544	1288
297	545	1285
298	546	1281
299	547	1278
300	548	1274
301	550	1271
302	551	1267
303	552	1264
304	553	1261
305	554	1257
306	555	1254
307	556	1251
308	558	1247
309	559	1244
310	560	1241
311	561	1238
312	562	1234
313	563	1231
314	564	1228
315	566	1225
316	567	1221
317	568	1218
318	569	1215
319	570	1212
320	571	1209
321	572	1205
322	573	1202
323	574	1199
324	576	1196
325	577	1193
326	578	1190
327	579	1187
328	580	1184
329	581	1181
330	583	1178
331	584	1175
332	585	1172
333	586	1169
334	587	1166
335	588	1163
336	590	1160
337	591	1157
338	592	1154
339	593	1152
340	594	1149
341	595	1146
342	596	1143
343	598	1140
344	599	1137
345	600	1134
346	601	1132
347	602	1129
348	603	1126
349	604	1123
350	606	1120
351	607	1117
352	608	1114
353	609	1112
354	610	1109
355	611	1106
356	612	1103
357	613	1100
358	614	1097
359	616	1095
360	617	1092
361	618	1089
362	619	1087
363	620	1084
364	621	1081
365	622	1078
366	624	1076
367	625	1073
368	626	1070
369	627	1068
370	628	1065
371	629	1062
372	630	1060
373	631	1057
374	632	1054
375	634	1052
376	635	1049
377	636	1047
378	637	1044
379	638	1041
380	639	1039
381	640	1036
382	641	1034
383	642	1031
384	644	1028
385	645	1026
386	646	1023
387	647	1021
388	648	1018
389	649	1016
390	650	1013
391	651	1011
392	653	1008
393	654	1006
394	655	1003
395	656	1001
396	657	998
397	658	996
398	659	993
399	660	991
400	662	989
401	663	986
402	664	984
403	665	981
404	666	979
405	667	976
406	668	974
407	669	971
408	670	969
409	672	967
410	673	964
411	674	962
412	675	960
413	676	957
414	677	955
415	678	952
416	679	950
417	680	948
418	682	945
419	683	943
420	684	941
421	685	938
422	686	936
423	687	934
424	688	931
425	689	929
426	691	927
427	692	925
428	693	922
429	694	920
430	695	918
431	696	916
432	698	914
433	699	911
434	700	909
435	701	907
436	702	905
437	703	902
438	704	900
439	705	898
440	707	896
441	709	895
442	710	893
443	711	891
444	712	888
445	713	886
446	714	884
447	715	882
448	717	879
449	718	877
450	719	875
451	720	873
452	721	871
453	722	868
454	723	866
455	724	864
456	725	862
457	726	860
458	728	858
459	729	856
460	730	853
461	731	851
462	732	849
463	733	847
464	734	845
465	735	843
466	736	841
467	738	839
468	739	836
469	740	834
470	741	832
471	742	830
472	743	828
473	745	826
474	746	824
475	747	822
476	748	820
477	749	818
478	750	816
479	751	814
480	752	812
481	753	810
482	755	808
483	756	806
484	757	804
485	758	802
486	759	800
487	760	798
488	762	796
489	763	794
490	764	792
491	765	790
492	766	788
493	768	786
494	769	784
495	770	782
496	771	780
497	772	778
498	773	776
499	774	774
500	775	772
501	777	770
502	778	768
503	779	767
504	780	765
505	781	763
506	782	761
507	783	759
508	785	757
509	786	755
510	787	753
511	788	751
512	789	749
513	790	747
514	791	745
515	793	743
516	794	741
517	795	740
518	796	738
519	797	736
520	798	734
521	799	732
522	800	730
523	802	728
524	803	726
525	804	724
526	805	722
527	806	720
528	807	719
529	808	717
530	809	715
531	811	713
532	812	711
533	813	709
534	814	707
535	815	705
536	816	704
537	817	702
538	818	700
539	819	698
540	821	696
541	822	694
542	823	692
543	824	691
544	825	689
545	827	687
546	828	685
547	829	684
548	830	682
549	831	680
550	832	678
551	833	676
552	834	674
553	836	673
554	837	671
555	838	669
556	839	667
557	840	665
558	841	664
559	842	662
560	843	660
561	845	658
562	846	656
563	847	655
564	848	653
565	849	651
566	850	649
567	851	647
568	853	646
569	854	644
570	855	642
571	856	640
572	857	639
573	858	637
574	859	635
575	861	633
576	862	632
577	863	630
578	864	628
579	865	626
580	866	624
581	867	623
582	868	621
583	870	619
584	871	618
585	872	616
586	873	614
587	874	612
588	875	610
589	876	609
590	877	607
591	879	605
592	880	604
593	881	602
594	882	600
595	883	598
596	884	597
597	885	595
598	886	593
599	888	592
600	889	590
601	890	588
602	891	587
603	892	585
604	893	583
605	895	581
606	896	580
607	897	578
608	898	576
609	899	575
610	900	573
611	901	571
612	903	570
613	904	568
614	905	566
615	906	564
616	907	563
617	908	561
618	909	559
619	910	558
620	911	556
621	913	554
622	914	553
623	915	551
624	917	550
625	918	548
626	920	547
627	923	546
628	924	545
629	926	543
630	928	542
631	929	541
632	931	539
633	932	538
634	934	537
635	935	535
636	937	534
637	938	532
638	939	531
639	941	529
640	942	527
641	943	526
642	945	524
643	946	523
644	947	521
645	948	519
646	950	518
647	951	516
648	952	514
649	953	513
650	954	511
651	955	510
652	956	508
653	958	506
654	959	505
655	960	503
656	961	501
657	962	500
658	963	498
659	964	496
660	965	495
661	967	493
662	968	492
663	969	490
664	970	488
665	971	487
666	972	485
667	973	484
668	974	482
669	976	480
670	977	479
671	978	477
672	979	475
673	980	474
674	981	472
675	982	471
676	984	469
677	985	467
678	986	466
679	987	464
680	988	463
681	989	461
682	990	459
683	991	458
684	993	456
685	994	455
686	995	453
687	996	451
688	997	450
689	998	448
690	999	447
691	1000	445
692	1001	443
693	1002	442
694	1004	440
695	1005	439
696	1006	437
697	1007	435
698	1008	434
699	1009	432
700	1010	431
701	1011	429
702	1012	427
703	1013	426
704	1014	424
705	1015	423
706	1017	421
707	1018	420
708	1019	418
709	1020	416
710	1021	415
711	1023	413
712	1024	412
713	1025	410
714	1026	409
715	1027	407
716	1028	406
717	1029	404
